Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,10u,
"C3, C4",1206,2,47n,
C5,1206,1,C,
"C6, C7",1808,2,10n,
"J1, J2, J3, J4, J5, J6, J7",Pin_D1.0mm_L10.0mm,7,~,
PMT1,B14B,1,R268,
Q1,SOT-23-3,1,2SC1815,
Q2,SOT-23-3,1,2SA1015,
R1,1206,1,100k,
"R10, R3, R9",1206,3,100,
"R11, R8",1206,2,150,
"R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22",2010,11,200k,
R2,1206,1,1M,
R23,2010,1,150k,
"R4, R7",1206,2,10k,
"R5, R6",1206,2,560,
RLY1,SIP_3570-1331_COM,1,3570-1331-055,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LF356,
